X-coordinate;Y-coordinate;R-Radius;Count
7520000000000000;23500000000000000;10700000000000000;54
15900000000000000;1010000000000000;10700000000000000;278
8970000000000000;23200000000000000;10000000000000000;52
937000000000000;14800000000000000;10300000000000000;292
8760000000000000;13200000000000000;10100000000000000;398
17500000000000000;2440000000000000;10900000000000000;276
7800000000000000;2180000000000000;1060000000000000;75
16600000000000000;2440000000000000;10800000000000000;263
1570000000000000;2490000000000000;10700000000000000;255
17000000000000000;2570000000000000;10700000000000000;254
9060000000000000;14200000000000000;10500000000000000;350
17700000000000000;2500000000000000;10000000000000000;254
18900000000000000;2530000000000000;10900000000000000;294
835000000000000;14600000000000000;10900000000000000;345
8650000000000000;13700000000000000;10100000000000000;360
17300000000000000;24100000000000000;10700000000000000;270
15500000000000000;11100000000000000;10200000000000000;297
16100000000000000;25400000000000000;10500000000000000;247
7530000000000000;14400000000000000;10200000000000000;299
17500000000000000;25500000000000000;1090000000000000;264
8000000000000000;24000000000000000;10300000000000000;48
17200000000000000;2340000000000000;10300000000000000;267
8470000000000000;21500000000000000;10300000000000000;76
16400000000000000;10400000000000000;10200000000000000;218
8910000000000000;23300000000000000;10300000000000000;53
7370000000000000;1520000000000000;10000000000000000;241
8460000000000000;14600000000000000;10200000000000000;293
14500000000000000;10700000000000000;10300000000000000;337
17200000000000000;11000000000000000;10100000000000000;182
7740000000000000;2380000000000000;1070000000000000;53
17500000000000000;24000000000000000;11000000000000000;281
17600000000000000;23800000000000000;1030000000000000;270
17800000000000000;2450000000000000;1080000000000000;280
56600000000000;22700000000000000;1050000000000000;41
7070000000000000;23700000000000000;10500000000000000;47
864000000000000;16300000000000000;1050000000000000;223
1630000000000000;25100000000000000;10900000000000000;257
759000000000000;22800000000000000;10100000000000000;53
8670000000000000;1460000000000000;10500000000000000;314
9140000000000000;1450000000000000;10300000000000000;302
16400000000000000;2550000000000000;10800000000000000;250
6870000000000000;23600000000000000;10600000000000000;49
1410000000000000;1260000000000000;10600000000000000;518
5100000000000000;22700000000000000;10000000000000000;21
8430000000000000;14100000000000000;1000000000000000;310
16200000000000000;23900000000000000;10800000000000000;263
8070000000000000;22900000000000000;10400000000000000;56
16600000000000000;9830000000000000;10500000000000000;215
7100000000000000;23100000000000000;10300000000000000;47
14900000000000000;9990000000000000;10600000000000000;319
965000000000000;15000000000000000;10900000000000000;320
632000000000000;2170000000000000;1040000000000000;62
8420000000000000;13800000000000000;10600000000000000;394
16800000000000000;24100000000000000;10800000000000000;265
15800000000000000;23900000000000000;10900000000000000;264
8260000000000000;2210000000000000;10400000000000000;68
8410000000000000;15000000000000000;10600000000000000;294
168000000000000;24800000000000000;10300000000000000;251
7330000000000000;2230000000000000;10600000000000000;64
983000000000000;14800000000000000;10400000000000000;302
18600000000000000;2490000000000000;1080000000000000;290
17900000000000000;25300000000000000;10200000000000000;255
539000000000000;15400000000000000;1040000000000000;234
850000000000000;15200000000000000;102000000000000;259
6700000000000000;2270000000000000;10100000000000000;44
14700000000000000;8510000000000000;10800000000000000;332
5420000000000000;24000000000000000;10600000000000000;30
15900000000000000;11000000000000000;10800000000000000;330
1670000000000000;23300000000000000;1040000000000000;264
8370000000000000;13600000000000000;10700000000000000;405
6860000000000000;23400000000000000;10000000000000000;39
1550000000000000;1100000000000000;10400000000000000;312
17500000000000000;24500000000000000;10600000000000000;270
5900000000000000;23800000000000000;10300000000000000;31
15600000000000000;9700000000000000;1040000000000000;270
1600000000000000;25800000000000000;10800000000000000;246
1800000000000000;25700000000000000;10300000000000000;253
8570000000000000;24300000000000000;10800000000000000;50
1910000000000000;24700000000000000;10500000000000000;294
16200000000000000;11100000000000000;10900000000000000;328
7900000000000000;2370000000000000;10700000000000000;53
5480000000000000;24100000000000000;1020000000000000;20
9250000000000000;1420000000000000;10600000000000000;351
14900000000000000;12300000000000000;10900000000000000;465
7660000000000000;1400000000000000;10900000000000000;397
7700000000000000;24100000000000000;10600000000000000;49
7640000000000000;14000000000000000;10400000000000000;357
7520000000000000;24100000000000000;10500000000000000;48
7440000000000000;24400000000000000;10900000000000000;49
14500000000000000;11400000000000000;10100000000000000;346
17100000000000000;2640000000000000;10700000000000000;242
16400000000000000;24700000000000000;10700000000000000;259
15500000000000000;2380000000000000;10400000000000000;261
805000000000000;133000000000000;10200000000000000;396
1720000000000000;11800000000000000;10100000000000000;224
8720000000000000;2180000000000000;10500000000000000;75
6630000000000000;14500000000000000;10400000000000000;299
6870000000000000;15500000000000000;10900000000000000;279
144000000000000;12900000000000000;11000000000000000;551
14900000000000000;12000000000000000;10600000000000000;416
11200000000000000;1340000000000000;10400000000000000;451
10200000000000000;15100000000000000;10600000000000000;300
7970000000000000;13500000000000000;10100000000000000;377
1820000000000000;24000000000000000;10100000000000000;275
17300000000000000;23400000000000000;10900000000000000;280
7990000000000000;12700000000000000;10200000000000000;444
165000000000000;24700000000000000;10800000000000000;262
14300000000000000;10600000000000000;10300000000000000;350
8520000000000000;14800000000000000;10200000000000000;283
832000000000000;2280000000000000;10700000000000000;60
1800000000000000;24800000000000000;10700000000000000;279
1030000000000000;14100000000000000;10300000000000000;345
7900000000000000;13500000000000000;10100000000000000;374
14300000000000000;10600000000000000;10300000000000000;350
8410000000000000;24200000000000000;10200000000000000;48
14500000000000000;126000000000000;10700000000000000;488
18100000000000000;23800000000000000;10600000000000000;285
9790000000000000;142000000000000;10200000000000000;318
8270000000000000;22400000000000000;10500000000000000;65
6850000000000000;16100000000000000;10200000000000000;198
18400000000000000;26500000000000000;10100000000000000;242
9110000000000000;13500000000000000;10800000000000000;420
16600000000000000;25400000000000000;10200000000000000;243
1670000000000000;24900000000000000;10700000000000000;260
14300000000000000;1090000000000000;10500000000000000;393
10700000000000000;13800000000000000;1100000000000000;477
17100000000000000;23500000000000000;1060000000000000;271
8240000000000000;23800000000000000;10100000000000000;48
7020000000000000;23700000000000000;10800000000000000;51
9510000000000000;1450000000000000;10500000000000000;320
8420000000000000;14700000000000000;10600000000000000;307
9350000000000000;15600000000000000;10800000000000000;284
1570000000000000;12200000000000000;10900000000000000;427
7760000000000000;22800000000000000;10500000000000000;58
7470000000000000;23200000000000000;10800000000000000;56
7520000000000000;1420000000000000;10700000000000000;366
9040000000000000;2310000000000000;10900000000000000;66
893000000000000;1520000000000000;10500000000000000;278
13900000000000000;11700000000000000;1040000000000000;452
6870000000000000;2250000000000000;10000000000000000;44
16500000000000000;23400000000000000;102000000000000;262
922000000000000;1490000000000000;10500000000000000;298
8200000000000000;15300000000000000;10200000000000000;249
7850000000000000;13400000000000000;10300000000000000;396
13900000000000000;11000000000000000;1080000000000000;470
7210000000000000;23300000000000000;1030000000000000;49
1490000000000000;11600000000000000;1090000000000000;413
8370000000000000;13600000000000000;10400000000000000;388
7400000000000000;24300000000000000;10100000000000000;43
9430000000000000;14400000000000000;10900000000000000;371
10200000000000000;17100000000000000;10500000000000000;184
9160000000000000;13300000000000000;10800000000000000;450
16700000000000000;10100000000000000;10200000000000000;198
771000000000000;22900000000000000;10800000000000000;60
872000000000000;23300000000000000;10200000000000000;53
16400000000000000;25500000000000000;10000000000000000;238
16900000000000000;2350000000000000;10100000000000000;261
8330000000000000;23700000000000000;10600000000000000;53
9060000000000000;14600000000000000;10800000000000000;341
1600000000000000;24700000000000000;1030000000000000;254
1680000000000000;25500000000000000;10100000000000000;240
7810000000000000;22100000000000000;10900000000000000;76
57800000000000000;23900000000000000;10700000000000000;33
17300000000000000;26300000000000000;10000000000000000;229
18400000000000000;2580000000000000;10500000000000000;265
839000000000000;14700000000000000;11000000000000000;345
8800000000000000;15200000000000000;10700000000000000;293
8360000000000000;15300000000000000;10800000000000000;289
7000000000000000;23900000000000000;10100000000000000;37
8600000000000000;134000000000000;101000000000000;385
9260000000000000;16100000000000000;10700000000000000;246
618000000000000;23600000000000000;10900000000000000;43
15400000000000000;12400000000000000;10100000000000000;347
8480000000000000;14100000000000000;107000000000000;378
185000000000000;24500000000000000;10600000000000000;288
144000000000000;10200000000000000;10600000000000000;367
680000000000000;23300000000000000;10500000000000000;43
9830000000000000;13400000000000000;10900000000000000;458
7340000000000000;14200000000000000;10100000000000000;308
8010000000000000;24500000000000000;10700000000000000;49
10200000000000000;15700000000000000;108000000000000;293
14300000000000000;10400000000000000;10100000000000000;322
8610000000000000;16300000000000000;10800000000000000;236
9300000000000000;13900000000000000;10700000000000000;401
6550000000000000;24100000000000000;10600000000000000;38
16200000000000000;11800000000000000;10900000000000000;364
1900000000000000;24800000000000000;10500000000000000;286
592000000000000;23500000000000000;10200000000000000;32
849000000000000;15600000000000000;10900000000000000;277
16700000000000000;9990000000000000;10900000000000000;249
10600000000000000;1330000000000000;10700000000000000;474
16400000000000000;21900000000000000;10800000000000000;288
957000000000000;1500000000000000;1060000000000000;301
8370000000000000;13800000000000000;10900000000000000;405
17400000000000000;23300000000000000;10400000000000000;271
7870000000000000;2270000000000000;10300000000000000;55
7570000000000000;23000000000000000;10900000000000000;60
9250000000000000;12400000000000000;10400000000000000;499
156000000000000;10700000000000000;105000000000000;299
7370000000000000;23300000000000000;1030000000000000;50
17800000000000000;24100000000000000;1010000000000000;267
928000000000000;1370000000000000;10600000000000000;400
873000000000000;23500000000000000;10200000000000000;51
7090000000000000;2220000000000000;10500000000000000;64
16600000000000000;24500000000000000;10900000000000000;263
16900000000000000;12600000000000000;10500000000000000;329
8830000000000000;23900000000000000;10700000000000000;52
7740000000000000;23100000000000000;10500000000000000;55
7620000000000000;13800000000000000;11000000000000000;411
1690000000000000;24900000000000000;10700000000000000;263
9240000000000000;14300000000000000;11000000000000000;389
16500000000000000;11000000000000000;10200000000000000;242
6510000000000000;22800000000000000;10800000000000000;54
8460000000000000;15000000000000000;1030000000000000;282
7760000000000000;22600000000000000;10400000000000000;59
15300000000000000;12200000000000000;10000000000000000;340
8750000000000000;1710000000000000;10500000000000000;170
1660000000000000;11400000000000000;10000000000000000;233
15900000000000000;25000000000000000;10300000000000000;247
16100000000000000;22600000000000000;11000000000000000;280
767000000000000;14200000000000000;10800000000000000;376
10200000000000000;1260000000000000;10100000000000000;449
17400000000000000;25900000000000000;10800000000000000;257
16700000000000000;24200000000000000;10300000000000000;260
8220000000000000;23100000000000000;10900000000000000;60
8930000000000000;1280000000000000;10300000000000000;448
8460000000000000;15100000000000000;10700000000000000;291
6870000000000000;23700000000000000;10500000000000000;45
7580000000000000;13000000000000000;10700000000000000;464
15400000000000000;12100000000000000;10400000000000000;362
7840000000000000;14600000000000000;10100000000000000;290
1590000000000000;11700000000000000;10700000000000000;351
16700000000000000;9970000000000000;10500000000000000;216
1770000000000000;24700000000000000;10000000000000000;256
16400000000000000;11900000000000000;10900000000000000;368
9110000000000000;1330000000000000;10700000000000000;431
12800000000000000;1450000000000000;10900000000000000;516
6750000000000000;23700000000000000;10300000000000000;38
6460000000000000;21800000000000000;10400000000000000;62
7210000000000000;22500000000000000;10800000000000000;66
7470000000000000;24500000000000000;10500000000000000;47
14900000000000000;10200000000000000;10800000000000000;347
7620000000000000;23500000000000000;10500000000000000;52
10300000000000000;1440000000000000;10400000000000000;328
16300000000000000;10500000000000000;10600000000000000;267
6280000000000000;14700000000000000;10200000000000000;271
15100000000000000;12200000000000000;10000000000000000;351
1910000000000000;24100000000000000;10300000000000000;292
1610000000000000;11300000000000000;1090000000000000;349
1750000000000000;23400000000000000;10700000000000000;279
10500000000000000;13600000000000000;10600000000000000;428
9480000000000000;14800000000000000;10200000000000000;286
8120000000000000;22600000000000000;1050000000000000;60
10300000000000000;15600000000000000;1050000000000000;266
15300000000000000;10500000000000000;10100000000000000;277
626000000000000;24200000000000000;10900000000000000;40
7870000000000000;22800000000000000;1010000000000000;53
625000000000000;23400000000000000;1060000000000000;42
52000000000000000;22900000000000000;10100000000000000;19
16100000000000000;9310000000000000;10700000000000000;253
14700000000000000;11300000000000000;11000000000000000;438
7100000000000000;23500000000000000;10800000000000000;54
6400000000000000;23100000000000000;1050000000000000;44
818000000000000;24000000000000000;10600000000000000;50
7850000000000000;14800000000000000;10900000000000000;323
14600000000000000;10900000000000000;10700000000000000;402
8610000000000000;14100000000000000;10700000000000000;382
1610000000000000;2430000000000000;10200000000000000;258
16100000000000000;11000000000000000;10600000000000000;298
7520000000000000;1370000000000000;10800000000000000;405
10100000000000000;13800000000000000;10700000000000000;420
752000000000000;14600000000000000;10700000000000000;323
15100000000000000;2430000000000000;10400000000000000;259
1550000000000000;2580000000000000;10800000000000000;246
7860000000000000;25500000000000000;10800000000000000;38
16300000000000000;10200000000000000;10600000000000000;255
9160000000000000;14600000000000000;10500000000000000;308
17100000000000000;24800000000000000;10300000000000000;255
9600000000000000;14100000000000000;10800000000000000;392
831000000000000;14700000000000000;10600000000000000;308
7490000000000000;15600000000000000;10800000000000000;266
973000000000000;16100000000000000;10500000000000000;238
17200000000000000;25300000000000000;10300000000000000;250
8660000000000000;14500000000000000;10100000000000000;293
8040000000000000;2450000000000000;10700000000000000;49
807000000000000;1460000000000000;10800000000000000;331
9430000000000000;14800000000000000;10100000000000000;283
7160000000000000;2300000000000000;10400000000000000;52
9100000000000000;1280000000000000;1050000000000000;465
17700000000000000;25300000000000000;10600000000000000;261
5340000000000000;22600000000000000;10700000000000000;41
7850000000000000;12400000000000000;10500000000000000;509
7600000000000000;23300000000000000;10200000000000000;51
7980000000000000;2350000000000000;10300000000000000;50
1520000000000000;1300000000000000;1010000000000000;409
14600000000000000;11000000000000000;10700000000000000;394
8650000000000000;15800000000000000;10100000000000000;223
15500000000000000;11300000000000000;10600000000000000;340
16000000000000000;11300000000000000;10800000000000000;342
7750000000000000;22400000000000000;10800000000000000;69
973000000000000;15000000000000000;10800000000000000;315
16600000000000000;13300000000000000;11000000000000000;428
1780000000000000;1070000000000000;10600000000000000;197
8400000000000000;15800000000000000;10800000000000000;257
6920000000000000;24900000000000000;10600000000000000;40
14400000000000000;2380000000000000;10300000000000000;252
8130000000000000;13100000000000000;10200000000000000;405
855000000000000;23200000000000000;10100000000000000;52
14500000000000000;1010000000000000;10900000000000000;405
170000000000000;24300000000000000;103000000000000;260
8000000000000000;2290000000000000;10300000000000000;55
9650000000000000;14000000000000000;1020000000000000;339
9720000000000000;14600000000000000;1090000000000000;360
9040000000000000;13200000000000000;10800000000000000;468
8420000000000000;14100000000000000;10200000000000000;324
158000000000000;2450000000000000;10300000000000000;258
60300000000000000;23700000000000000;10100000000000000;30
15900000000000000;23500000000000000;10200000000000000;262
6720000000000000;24500000000000000;10500000000000000;36
1640000000000000;24600000000000000;10700000000000000;261
1800000000000000;2290000000000000;10900000000000000;298
14400000000000000;1020000000000000;11000000000000000;408
7310000000000000;23200000000000000;1080000000000000;55
609000000000000;24000000000000000;1090000000000000;40
656000000000000;2370000000000000;1010000000000000;34
14400000000000000;11600000000000000;10800000000000000;446
15800000000000000;11800000000000000;10800000000000000;370
10100000000000000;13800000000000000;10300000000000000;388
8620000000000000;1360000000000000;10500000000000000;397
1760000000000000;25200000000000000;10400000000000000;257
15000000000000000;10600000000000000;1000000000000000;283
9230000000000000;2350000000000000;10800000000000000;64
16900000000000000;11200000000000000;10900000000000000;296
14800000000000000;10900000000000000;10700000000000000;380
9600000000000000;14400000000000000;10400000000000000;331
697000000000000;23100000000000000;1010000000000000;41
17500000000000000;25100000000000000;10800000000000000;270
16500000000000000;1190000000000000;11000000000000000;368
8560000000000000;1450000000000000;10800000000000000;340
7990000000000000;23100000000000000;1070000000000000;56
9720000000000000;13900000000000000;10700000000000000;399
9750000000000000;1410000000000000;10600000000000000;380
16900000000000000;12100000000000000;10200000000000000;261
9160000000000000;15100000000000000;1030000000000000;267
889000000000000;15200000000000000;10200000000000000;262
1420000000000000;11800000000000000;10600000000000000;453
9960000000000000;14600000000000000;10500000000000000;325
7950000000000000;23800000000000000;10800000000000000;53
16900000000000000;24100000000000000;10800000000000000;269
9140000000000000;14600000000000000;10900000000000000;351
10900000000000000;145000000000000;11000000000000000;441
7320000000000000;2530000000000000;10200000000000000;29
7940000000000000;1560000000000000;10600000000000000;254
15500000000000000;10200000000000000;10500000000000000;285
18400000000000000;22900000000000000;10400000000000000;290
15400000000000000;11200000000000000;10200000000000000;305
11200000000000000;13700000000000000;10700000000000000;475
5500000000000000;22700000000000000;10100000000000000;27
748000000000000;23800000000000000;10500000000000000;49
1490000000000000;13300000000000000;10900000000000000;519
7630000000000000;23200000000000000;10400000000000000;54
6180000000000000;22600000000000000;1100000000000000;57
16700000000000000;23600000000000000;10200000000000000;261
9990000000000000;138000000000000;10100000000000000;354
7660000000000000;1510000000000000;10200000000000000;257
6790000000000000;15700000000000000;10900000000000000;272
7310000000000000;2190000000000000;10700000000000000;75
6030000000000000;16400000000000000;10600000000000000;197
979000000000000;13000000000000000;10400000000000000;436
15400000000000000;1180000000000000;10400000000000000;353
14800000000000000;10700000000000000;10300000000000000;326
7220000000000000;13000000000000000;1020000000000000;405
943000000000000;16300000000000000;10900000000000000;248
9360000000000000;1430000000000000;10200000000000000;312
18700000000000000;2400000000000000;10700000000000000;294
18300000000000000;25000000000000000;10600000000000000;275
107000000000000;1390000000000000;10600000000000000;416
5580000000000000;2330000000000000;10100000000000000;24
7880000000000000;2270000000000000;10200000000000000;55
10200000000000000;1460000000000000;10200000000000000;303
8710000000000000;14700000000000000;10600000000000000;312
1630000000000000;27500000000000000;10200000000000000;220
15500000000000000;12200000000000000;10700000000000000;411
8370000000000000;24000000000000000;10600000000000000;50
9510000000000000;13300000000000000;10700000000000000;444
10100000000000000;13100000000000000;10100000000000000;407
1420000000000000;11900000000000000;10300000000000000;429
14300000000000000;10200000000000000;10200000000000000;325
10200000000000000;1490000000000000;10700000000000000;327
10700000000000000;13400000000000000;1040000000000000;433
6990000000000000;14300000000000000;10700000000000000;357
7760000000000000;141000000000000;10100000000000000;312
9690000000000000;14200000000000000;10700000000000000;372
9290000000000000;1410000000000000;10600000000000000;373
16900000000000000;2500000000000000;10200000000000000;247
8460000000000000;15700000000000000;10300000000000000;236
8030000000000000;23700000000000000;10700000000000000;53
8380000000000000;13800000000000000;11000000000000000;405
8070000000000000;13800000000000000;10400000000000000;377
53300000000000000;2300000000000000;1050000000000000;35
7320000000000000;23400000000000000;10100000000000000;47
911000000000000;13700000000000000;10500000000000000;393
7180000000000000;246000000000000;10800000000000000;47
7780000000000000;1520000000000000;10500000000000000;281
1570000000000000;24600000000000000;10400000000000000;257
8810000000000000;15100000000000000;10600000000000000;284
9500000000000000;1480000000000000;10900000000000000;342
4040000000000000;2180000000000000;10900000000000000;42
16000000000000000;10600000000000000;10500000000000000;278
1620000000000000;11800000000000000;10500000000000000;322
18200000000000000;24900000000000000;1050000000000000;273
10000000000000000;14300000000000000;10500000000000000;341
5790000000000000;22900000000000000;10200000000000000;35
17100000000000000;10600000000000000;10900000000000000;254
17500000000000000;235000000000000;11000000000000000;283
18700000000000000;24200000000000000;10300000000000000;286
9460000000000000;12300000000000000;1050000000000000;518
787000000000000;14400000000000000;10500000000000000;332
15400000000000000;12300000000000000;10800000000000000;428
9060000000000000;13400000000000000;10400000000000000;398
7010000000000000;23100000000000000;11000000000000000;58
1440000000000000;9680000000000000;10500000000000000;350
8270000000000000;22800000000000000;10300000000000000;56
1120000000000000;15000000000000000;10700000000000000;360
1450000000000000;25500000000000000;10400000000000000;241
8330000000000000;1370000000000000;10500000000000000;387
15800000000000000;24800000000000000;10100000000000000;249
18300000000000000;25500000000000000;10200000000000000;261
9570000000000000;14400000000000000;109000000000000;382
14500000000000000;10500000000000000;10800000000000000;401
18400000000000000;23200000000000000;11000000000000000;302
7400000000000000;2210000000000000;10900000000000000;75
16100000000000000;12700000000000000;10900000000000000;425
1440000000000000;11900000000000000;11000000000000000;496
15200000000000000;11000000000000000;10900000000000000;376
1850000000000000;2530000000000000;10800000000000000;284
8950000000000000;15400000000000000;10900000000000000;295
7940000000000000;1520000000000000;10400000000000000;276
10100000000000000;12900000000000000;10400000000000000;463
7250000000000000;2390000000000000;10900000000000000;52
17900000000000000;24200000000000000;10400000000000000;275
894000000000000;13200000000000000;10100000000000000;394
16800000000000000;25800000000000000;10700000000000000;249
17800000000000000;11100000000000000;1020000000000000;185
16500000000000000;25400000000000000;1080000000000000;253
6000000000000000;23100000000000000;1060000000000000;40
16300000000000000;23100000000000000;10600000000000000;267
14200000000000000;11200000000000000;10300000000000000;392
6210000000000000;2490000000000000;10300000000000000;20
7420000000000000;15900000000000000;10200000000000000;225
7300000000000000;13600000000000000;1060000000000000;398
1550000000000000;12800000000000000;101000000000000;379
7200000000000000;2450000000000000;10800000000000000;47
14200000000000000;12200000000000000;10200000000000000;415
16100000000000000;11300000000000000;10600000000000000;313
7620000000000000;15100000000000000;10300000000000000;275
9270000000000000;14900000000000000;10600000000000000;301
1610000000000000;12400000000000000;10300000000000000;345
1450000000000000;12000000000000000;10500000000000000;420
1750000000000000;2430000000000000;10100000000000000;264
6410000000000000;23600000000000000;10900000000000000;48
716000000000000;14500000000000000;10400000000000000;302
17700000000000000;23700000000000000;10500000000000000;276
10700000000000000;13200000000000000;10200000000000000;422
10500000000000000;15500000000000000;10600000000000000;293
6750000000000000;21800000000000000;1090000000000000;75
1710000000000000;2350000000000000;1030000000000000;265
1860000000000000;2280000000000000;10800000000000000;304
15700000000000000;11200000000000000;1090000000000000;370
7670000000000000;1320000000000000;10300000000000000;401
1750000000000000;2510000000000000;10200000000000000;254
6360000000000000;23900000000000000;10300000000000000;33
8900000000000000;22000000000000000;101000000000000;64
14500000000000000;13600000000000000;10200000000000000;473
9330000000000000;1270000000000000;10100000000000000;424
15700000000000000;2500000000000000;10700000000000000;255
657000000000000;236000000000000;10500000000000000;41
1650000000000000;11200000000000000;10100000000000000;236
7380000000000000;2290000000000000;10600000000000000;57
1560000000000000;10700000000000000;10300000000000000;282
1750000000000000;2440000000000000;10900000000000000;276
15300000000000000;8800000000000000;10600000000000000;287
15700000000000000;11000000000000000;10200000000000000;283
7410000000000000;24400000000000000;10200000000000000;44
8680000000000000;14200000000000000;10800000000000000;378
16500000000000000;11800000000000000;10300000000000000;285
1690000000000000;2330000000000000;1060000000000000;269
9300000000000000;1570000000000000;10700000000000000;264
7030000000000000;220000000000000;10100000000000000;50
6330000000000000;22800000000000000;10700000000000000;49
7070000000000000;24500000000000000;10400000000000000;41
18300000000000000;2440000000000000;10900000000000000;288
18200000000000000;2450000000000000;1080000000000000;285
1300000000000000;11000000000000000;10400000000000000;491
6620000000000000;13500000000000000;10700000000000000;402
1530000000000000;11900000000000000;10800000000000000;413
9150000000000000;1260000000000000;10100000000000000;452
7330000000000000;21100000000000000;10700000000000000;80
18400000000000000;10100000000000000;10600000000000000;152
1580000000000000;12200000000000000;10800000000000000;403
18700000000000000;26200000000000000;10500000000000000;263
17900000000000000;262000000000000;10700000000000000;257
16300000000000000;24600000000000000;10100000000000000;251
8270000000000000;24800000000000000;10800000000000000;48
1400000000000000;2510000000000000;10200000000000000;224
16900000000000000;23200000000000000;10800000000000000;276
1690000000000000;2420000000000000;10200000000000000;258
18500000000000000;24200000000000000;10800000000000000;293
16200000000000000;23100000000000000;10000000000000000;263
15200000000000000;10200000000000000;10400000000000000;301
14200000000000000;1020000000000000;10300000000000000;354
691000000000000;1500000000000000;10100000000000000;255
1790000000000000;2410000000000000;10500000000000000;275
16200000000000000;23800000000000000;10500000000000000;262
8390000000000000;13300000000000000;10700000000000000;440
9870000000000000;12400000000000000;10900000000000000;567
7610000000000000;22400000000000000;10500000000000000;62
8930000000000000;147000000000000;10800000000000000;334
15000000000000000;1140000000000000;10900000000000000;413
5630000000000000;2260000000000000;1050000000000000;42
755000000000000;13700000000000000;10100000000000000;358
15900000000000000;24300000000000000;10200000000000000;258
921000000000000;14300000000000000;10300000000000000;315
17500000000000000;24200000000000000;10800000000000000;277
10600000000000000;17200000000000000;10600000000000000;204
9420000000000000;16800000000000000;10000000000000000;161
7120000000000000;1590000000000000;10900000000000000;257
15300000000000000;11700000000000000;11000000000000000;416
9000000000000000;13500000000000000;10000000000000000;370
7210000000000000;21000000000000000;11000000000000000;91
11000000000000000;1520000000000000;11000000000000000;373
17700000000000000;2430000000000000;10400000000000000;270
9700000000000000;13000000000000000;10800000000000000;487
16600000000000000;26000000000000000;10400000000000000;237
10200000000000000;1450000000000000;10100000000000000;304
9690000000000000;14300000000000000;11000000000000000;399
14900000000000000;2310000000000000;10300000000000000;263
709000000000000;1450000000000000;10700000000000000;331
767000000000000;23900000000000000;10300000000000000;49
14800000000000000;12200000000000000;10000000000000000;373
9280000000000000;13100000000000000;1020000000000000;404
1610000000000000;2480000000000000;10300000000000000;251
10800000000000000;14200000000000000;11000000000000000;452
7290000000000000;23800000000000000;10200000000000000;45
8470000000000000;14700000000000000;10300000000000000;289
16800000000000000;24000000000000000;10900000000000000;271
14300000000000000;1250000000000000;10100000000000000;415
9610000000000000;13400000000000000;10100000000000000;382
8830000000000000;1500000000000000;10100000000000000;267
